Device,Flows_Used
amazonEcho,'ipv4-6-443' | 'ipv4-17-123' | 'ipv4-2-*' | 'ipv4-17-1900' | 'ipv4-17-67' | 'ipv4-1-*' | 'ipv4-6-80' | 'ipv4-17-53' | 'ipv4-17-5353' | 'ipv4-17-33434' | 'ipv4-17-50000' | 'ethernet-0x0006' | 'ethernet-0x888e'
awairAirQuality,'ipv4-17-67' | 'ipv4-17-53' | 'ipv4-6-443' | 'ipv4-6-8883' | 'ethernet-0x888e' | 'ethernet-0x0006'
lifxbulb,'ipv4-17-123' | 'ipv4-17-56700' | 'ipv4-17-67' | 'ipv4-17-53' | 'ipv4-6-56700' | 'ipv6-58-*' | 'ethernet-0x888e' | 'ethernet-0x0006'
nestsmokesensor,'ipv4-6-11095' | 'ipv4-17-67' | 'ipv4-17-53' | 'ipv6-58-*' | 'ipv6-0-*' | 'ethernet-0x0006' | 'ethernet-0x888e'
pixstarphotoframe,'ipv4-17-67' | 'ipv4-17-137' | 'ipv4-6-80' | 'ipv4-6-443' | 'ipv4-17-138' | 'ipv4-17-53' | 'ipv6-0-*' | 'ipv6-58-*' | 'ethernet-0x888e' | 'ethernet-0x0006'
ringdoorbell,'ipv4-17-67' | 'ipv4-17-53' | 'ipv4-6-443' | 'ipv4-6-80' | 'ipv4-6-9998' | 'ipv4-17-123' | 'ethernet-0x888e' | 'ethernet-0x0006'
tplinkcamera,'ipv4-2-*' | 'ipv4-17-67' | 'ipv4-6-443' | 'ipv4-17-123' | 'ipv4-6-80' | 'ipv4-17-80' | 'ipv4-17-5353' | 'ipv4-17-3478' | 'ipv4-17-1068' | 'ipv4-17-53' | 'ipv4-6-8080' | 'ethernet-0x888e' | 'ethernet-0x0006'
tribyspeaker,'ipv4-17-10003' | 'ipv4-6-8090' | 'ipv4-6-80' | 'ipv4-17-123' | 'ipv4-17-67' | 'ipv4-17-10002' | 'ipv4-17-53' | 'ipv4-6-5228' | 'ipv4-17-5353' | 'ipv4-6-443' | 'ipv6-58-*' | 'ipv6-17-5353' | 'ipv6-0-*' | 'ethernet-0x0006' | 'ethernet-0x888e'
withingssleepsensor,'ipv4-6-443' | 'ipv4-17-53' | 'ipv4-2-*' | 'ipv4-17-67' | 'ipv4-6-80' | 'ipv4-17-5353' | 'ethernet-0x888e'
